Item Id	Item Name	Price	Sales	Shop Name	Commission Rate	Commission	Product Link	Offer Link
10000000001	Acesse a Shopee por intermédio do nosso Link de Afiliado 		1	a	1	1	colecao	https://s.shopee.com.br/5VPQAX9acB
10000000002	Conheça Nossa Seleção de Produtos do Mercado Livre		1	a	1	1	colecao	https://mercadolivre.com/sec/1gRMfvP
10000000003	Acesse a Amazon por intermédio do nosso Link de Afiliado 		1	a	1	1	coleção	https://amzn.to/47dhhOz
31000000091	Extrato de Própolis 30 ml Apis Flora	16,6	1	a	13	1	https://amzn.to/3PbTQPC	https://amzn.to/3PbTQPC
MLB26796581	Creatina Monohidratada Pura 500g Dark Lab Unidade	47,49	n	n	n	n	https://www.mercadolivre.com.br/creatina-monohidratada-pura-500g-dark-lab-unidade/p/MLB26796581?pdp_filters=item_id%3AMLB4812143184#polycard_client=affiliates&wid=MLB4812143184&sid=affiliates	https://mercadolivre.com/sec/1PSaUaz
21897401555	AMEND KIT EXPERTISE COMPLETE REPAIR SHAMPOO 250ML E CONDICIONADOR 250ML	80,34	391	AMEND OFICIAL	22%	R$17,05	https://shopee.com.br/product/1077804858/21897401555	https://s.shopee.com.br/7KrB66dqdQ
19699891709	Mix-03 um sérum multirreparador com mix de 4 ativos: 6% multivitaminas Oficial	26,99	21	F.Promo	3%	R$0,81	https://shopee.com.br/product/1640407425/19699891709	https://s.shopee.com.br/70EKhUf7JK
19496935117	Amend Expertise Complete Repair Kit Shampoo e Condicionador 250ml	80,34	489	BEAUTY ON 	16%	R$12,40	https://shopee.com.br/product/477051595/19496935117	https://s.shopee.com.br/7AXktneTyN
23892784393	Kit Shampoo e Condicionador Antidanos Bendito Loiro Haskell 300ml	110,79	70	Rotha Cosméticos	25%	R$30,11	https://shopee.com.br/product/773409605/23892784393	https://s.shopee.com.br/8KjiGGpeZ4
22498202529	Kit Shampoo e Condicionador Reconstrutor Hidratante Uso Obrigatório Truss	229,98	0	UniBeleza Cosméticos	10%	R$23,00	https://shopee.com.br/product/313283487/22498202529	https://s.shopee.com.br/8V38SZp1E7
22298489702	Limpador Pincel Esponja Maquiagem Elétrico USB Automático Lava Seca Armazena	31,95	1mil+	máquinas shop	12%	R$3,24	https://shopee.com.br/product/1381918631/22298489702	https://s.shopee.com.br/6pum9LVrKv
22293255997	Espelho De Maquiagem Mesa Inteligente Com Luz LED USB Portátil Dobrável Ajustável Touch Oval	43,79	7mil+	Nuvem  Tech	7%	R$3,07	https://shopee.com.br/product/1128533277/22293255997	https://s.shopee.com.br/70ECLeVDzy
58251822986	Loção Noturna Desodorante Corporal Nativa Spa Orquídea Noire – 400ml	13,79	11	Max Perfumes	13%	R$1,79	https://shopee.com.br/product/1420372901/58251822986	https://s.shopee.com.br/7AXcXxUaf1
40708740721	Kit 10 Esmaltes Impala Marrom Nude Esmalte Capivara Atacado	52,90	5mil+	Doce Berço	12%	R$2,39	https://shopee.com.br/product/291265983/40708740721	https://s.shopee.com.br/3LKtyujBRI
20299556816	Conjunto de cortador de unhas para pedicure, 16 peças, aço inoxidável com bolsa dobrável	21,98	10mil+	Lenda oriental	12%	R$2,15	https://shopee.com.br/product/1377846021/20299556816	https://s.shopee.com.br/3VeKBDiY6L
23897892314	Creme AntiEstrias Removedor Estrias 200g Morena Brasil – Ação Poderosa com Colágeno e Elastina	38,9	10mil+	WANDER-SHOP	33%	R$12,84	https://shopee.com.br/product/231816406/23897892314	https://s.shopee.com.br/3fxkNWhulO
22597349492	Escova Secadora Alisador Elétrica Quente Cabelo Com 3 Em1 Hair Styler 110V	45,99	10mil+	HELLOBRASIL	7%	R$2,73	https://shopee.com.br/product/407952755/22597349492	https://s.shopee.com.br/3qHAZphHQR
19199649259	Caneta  fio a fio para Sobrancelha e Barba À Prova D 'água Microblanding	19,39	30mil+	AR Mod Official	12%	R$1,92	https://shopee.com.br/product/1057711992/19199649259	https://s.shopee.com.br/2qOdNzl5SH
22293756813	Kit de Esmaltes Impala Roxinho Rosa Perolado Clássicos Mais Vendidos Atacado	14,95	4mil+	Avili Cosmética	13%	R$1,94	https://shopee.com.br/product/1449290898/22293756813	https://s.shopee.com.br/30i3aIkS7K
23293942172	Óleo Clareador de Axilas e Virilha Secrets Woman (110 ml) SWISS BEAUTY | Corporal, axilas e virilha	35,62	10mil+	Bela Beleza Oficial	23%	R$8,91	https://shopee.com.br/product/1391354759/23293942172	https://s.shopee.com.br/4fqHZMe6jg
58200716841	Principia Kit - Anti-manchas- Essencial	168,23	8mil+	Principia Skincare	13%	R$22,72	https://shopee.com.br/product/373261329/58200716841	https://s.shopee.com.br/4q9hlfdTOj
42821781287	Kit Completo Karseell Máscara 500 g + condicionador 1L + Shampoo 1L + Óleo karseell P 50ml	75,00	20mil+	karseell®	17%	R$8,84	https://shopee.com.br/product/1179613076/42821781287	https://s.shopee.com.br/50T7xycq3m
18858554736	Conjunto de 3 batons / fosco aveludado/Batom Fosco Aveludado	25,99	10mil+	fashionmz.br	8%	R$1,44	https://shopee.com.br/product/889221854/18858554736	https://s.shopee.com.br/5AmYAHcCip
26310323709	KIKO Milano Conjunto de pincéis de maquiagem / 5pcs+Saco organizador	49,98	1mil+	maliya1.br	10%	R$1,18	https://shopee.com.br/product/1160892777/26310323709	https://s.shopee.com.br/40aam8ge5c
23998648815	Wella Pro Oil Reflections Óleo 100ml	55,90	10mil+	Cosméticos Brasil 	20%	R$11,00	https://shopee.com.br/product/275739347/23998648815	https://s.shopee.com.br/4Au0yRg0kf
20846672583	Clareador de Virilha e Axila Creme Clareador Partes Intimas - Clear Beauty Original	28,9	30mil+	Corpus	23%	R$6,65	https://shopee.com.br/product/768604265/20846672583	https://s.shopee.com.br/4LDRAkfNPi
22831010594	Depilador Elétrico Batom Indolor Portátil Facial Touch  Removedor de Pêlos Indesejados Recarregável	20,65	60mil+	Maria Flor Variedades	16%	R$3,18	https://shopee.com.br/product/767949698/22831010594	https://s.shopee.com.br/4VWrN3ek4l
23493397958	Kit 16 Pçs/Set Profissional Aço inoxidável Para Manicure Pedicure	18,81	60mil+	Arara.store	11%	R$2,09	https://shopee.com.br/product/1005980154/23493397958	https://s.shopee.com.br/qdZ0JshW5
18598354285	Kit Maleta Maquiagem completo Profissional Com Espelho e Luz Led e paleta de maquiagem	90,14	34	TW1 TECH LTDA	10%	R$8,49	https://shopee.com.br/product/1630928956/18598354285	https://s.shopee.com.br/10wzCcs4B8
18897459506	Bolsa De Cosmético  Com Grande Capacidade Portátil Viagem Cosméticos Para Viagem 884/774/311/916	20,90	50mil+	BBQalegre	10%	R$1,59	https://shopee.com.br/product/739972532/18897459506	https://s.shopee.com.br/1BGPOvrQqB
23898657071	Depilador Eletrico Feminino Recarregável Removedor De Pelos Navalha Dupla	40,99	7mil+	máquinas shop	12%	R$3,36	https://shopee.com.br/product/1381918631/23898657071	https://s.shopee.com.br/BNsD5vEs1
23497647985	Limpador De Pincel Esponja Maquiagem Elétrico USB Automático Recarregável Lava Armazena Bivolt	28,99	5mil+	MISULI_BR	8%	R$2,32	https://shopee.com.br/product/378093609/23497647985	https://s.shopee.com.br/20pWOSoG9Q
22310437916	Lixador de Pé Elétrico - Esfoliador Tira Calos Pedicure Portátil  Lixa Elimina Calo Portátil Usb Pilha	19,99	20mil+	DAFUSHOP Official Store	9%	R$1,53	https://shopee.com.br/product/378486098/22310437916	https://s.shopee.com.br/2B8walncoT
21797681952	Kit Terapia Capilar Óleo de Coco + Rícino + Alecrim Natuhair 60ml	28,45	50mil+	Zares Cosméticos	23%	R$7,34	https://shopee.com.br/product/844782615/21797681952	https://s.shopee.com.br/2LSMn4mzTW
20797676896	Batom Cremoso Creamy Matte GLASS BY RUBY ROSE	19,90	5mil+	Espaço da Blz	23%	R$4,12	https://shopee.com.br/product/722975682/20797676896	https://s.shopee.com.br/2VlmzNmM8Z
