Item Id	Item Name	Price	Sales	Shop Name	Commission Rate	Commission	Product Link	Offer Link
10000000001	Conheça Nossa Seleção de Produtos da Shopee 		1	a	1	1	colecao	https://collshp.com/mercadimshopp?view=storefront
10000000002	Conheça Nossa Seleção de Produtos do Mercado Livre		1	a	1	1	colecao	https://mercadolivre.com/sec/1Bjhgrr
20999203046	Ventilador Mondial 30cm Vsp 30 B 127v 60hz	109,99	70mil+	LOI BRASIL	5%	R$5,50	https://shopee.com.br/product/359168917/20999203046	https://s.shopee.com.br/5q2YNmzK40
21599378249	Lava Louças Portátil LLPP Semi Automática - Praxis Eletrodomésticos	999,00	6mil+	LOJA_PRAXIS	14%	R$139,86	https://shopee.com.br/product/433856120/21599378249	https://s.shopee.com.br/5fj8BTzxOz
23492673226	Geladeira Consul 334L CRD37EB Cycle Defrost com Freezer Supercapacidade Branca	1895,00	1mil+	Engage Eletro 	7%	R$132,65	https://shopee.com.br/product/1009975506/23492673226	https://s.shopee.com.br/5VPhzB0ajy
22893986885	Geladeira Electrolux Frost Free 431L Efficient AutoSense Duplex Branca (TF70)	3299,00	317	Electrolux	8%	R$263,92	https://shopee.com.br/product/1526836548/22893986885	https://s.shopee.com.br/5L6Hms1E4x
22298342715	Geladeira Refrigerador HQ Defrost 290 Litros Preto e Cinza HQ-290RDF 220V	1949,00	568	Belmicro Oficial	4%	R$77,96	https://shopee.com.br/product/1388709282/22298342715	https://s.shopee.com.br/6VIFB0wmiC
23298514459	Geladeira Electrolux Cycle Defrost 260L Super Freezer Duplex Branca (DC35A)	2399,00	141	Electrolux	8%	R$191,92	https://shopee.com.br/product/1526836548/23298514459	https://s.shopee.com.br/6KyoyhxQ3B
58251141773	Geladeira Electrolux 380 Litros, Frost Free, AutoSense, Duplex, Branca - TF41	2659,00	28	Lojas Colombo  	11%	R$292,49	https://shopee.com.br/product/1630032069/58251141773	https://s.shopee.com.br/60Lya5ygj9
22893986842	Geladeira Electrolux Cycle Defrost 240L Degelo Prático Uma Porta Branca (RE31)	1899,00	269	Electrolux	8%	R$151,92	https://shopee.com.br/product/1526836548/22893986842	https://s.shopee.com.br/7AXvyEuFMO
23098948724	Geladeira Refrigerador HQ Defrost 290 Litros Preto e Cinza HQ-290RDF 110V	1870,55	15	Webcontinental Marketplace	7%	R$137,83	https://shopee.com.br/product/1215229492/23098948724	https://s.shopee.com.br/6pv5ZcvW2M
