Item Id	Item Name	Price	Sales	Shop Name	Commission Rate	Commission	Product Link	Offer Link
10000000001	Acesse a Shopee por inntermédio do nosso Link de Afiliado 		1	a	1	1	colecao	https://s.shopee.com.br/5VPQAX9acB
10000000002	Conheça Nossa Seleção de Produtos do Mercado Livre		1	a	1	1	colecao	https://mercadolivre.com/sec/24D3RGC
22498347105	Bermuda Jeans Masculina Lisa | Shorts Masculino Qualidade Gold | Conforto e Estilo	39,00	5mil+	BEST JEANS	18%	R$7,02	https://shopee.com.br/product/439328620/22498347105	https://s.shopee.com.br/7AXeIHRyRW
20597809991	3 Bermuda Masculina Adulto Mauricinho Plus Size Moda Short Tactel Masculino Ideal P/ Praia Piscina Casual	84	10mil+	TissyBox Store	7%	R$3,33	https://shopee.com.br/product/876362265/20597809991	https://s.shopee.com.br/70EE5ySbmV
23598183307	Kit 4 Pijama Masculino Samba Cançao Masculino Samba Canção Cueca	42	2mil+	Mundo Intimo	15%	R$2,51	https://shopee.com.br/product/1419612788/23598183307	https://s.shopee.com.br/7VAUgtQhlc
20299701857	Kit 3 Pç Shorts Masculina Esporte Academia Ziper Refletivo Masculino	49,99	2mil+	A.G.confecao	15%	R$7,50	https://shopee.com.br/product/1267984924/20299701857	https://s.shopee.com.br/7Kr4UaRL6b
21897617582	KIT 10 Cuecas Boxers Masculina de Microfibra ou 4 Unidades	47,80	80mil+	NK3 SHOP	8%	R$1,99	https://shopee.com.br/product/653062442/21897617582	https://s.shopee.com.br/7pnL5VPR5i
18598798283	Kit 2 Shorts Praia Masculino Bermuda Masculina Verão Casual Esportivo Básico Em Tactel Com Bolsos	69,00	4mil+	Loja Dulk	18%	R$12,42	https://shopee.com.br/product/375092482/18598798283	https://s.shopee.com.br/7fTutCQ4Qh
18797982880	Shorts Plus Size Tactel liso roupas neon moda praia masculino short plus size masculino mauricinho verão verão preto	21,00	8mil+	Voluccy Modas	8%	R$1,68	https://shopee.com.br/product/697079696/18797982880	https://s.shopee.com.br/5VPQJDYJpI
23599036232	KIT 2 Regatas Masculinas DryFit Academia - Regata Dryfitness Masculina Regatas Academia Treino	33,98	1mil+	ZUUN FIT	13%	R$4,42	https://shopee.com.br/product/1598241954/23599036232	https://s.shopee.com.br/5L606uYxAH
23991859204	Kit 2 Bermuda Masculina Cargo Bermudas Masculinas Brim Short Masculino Bolso Elástico	63,89	1mil+	PROGRESSIVE 	16%	R$10,22	https://shopee.com.br/product/290914142/23991859204	https://s.shopee.com.br/5q2GhpX39O
22492676165	Calça Jogger Preta Masculina Dry Fit Com Fitas Esportiva	40,97	60mil+	ALAN.FONTE.888	8%	R$3,28	https://shopee.com.br/product/413762733/22492676165	https://s.shopee.com.br/5fiqVWXgUN
22799027611	KIT 3 Bermuda masculina academia tactel com elastano bolso com ziper shorts academia alta qualidade	37,89	9mil+	salestudo	13%	R$4,93	https://shopee.com.br/product/294594088/22799027611	https://s.shopee.com.br/6Af76RVmTU
22693989778	Kit 4 Cuecas Boxers Masculina Adulto de Microfibra ou Kit 10 Cuecas	21,99	20mil+	JJ BABY	8%	R$1,76	https://shopee.com.br/product/1538734551/22693989778	https://s.shopee.com.br/60Lgu8WPoT
58200118182	Kit 3 a 10 Cueca Boxer Lisa Sem Costura Masculino Adulto Cores Variadas	19,00	10mil+	CHARM INTIMUS	11%	R$2,09	https://shopee.com.br/product/1280640240/58200118182	https://s.shopee.com.br/6VHxV3UVna
21099194764	Camiseta Básica Algodão Masculina Feminina Confortável Casual  Academia e Dia a Dia	25,90	30mil+	RgoPlay	15%	R$3,89	https://shopee.com.br/product/850197686/21099194764	https://s.shopee.com.br/6KyXIkV98Z
20398291119	Calça Denim Baggy Masculina Balão Larga Carpenter Tecido Premium Dazzling	79	10mil+	BEST JEANS	18%	R$8,82	https://shopee.com.br/product/439328620/20398291119	https://s.shopee.com.br/4Au2ildOXA
23992783058	Kit 2 camisa polo masculina camiseta premium piquet poliester	59	30mil+	78 STORE	7%	R$3,74	https://shopee.com.br/product/380575792/23992783058	https://s.shopee.com.br/40acWSe1s9
21154240500	Calça Jogger Masculina Sarja ou Jeans Streetwear 4 Bolsos moda homem bonito	59,00	80mil+	Fashion Modas T.&.E	13%	R$7,67	https://shopee.com.br/product/447199298/21154240500	https://s.shopee.com.br/4VWt7Nc7rG
