Item Id	Item Name	Price	Sales	Shop Name	Commission Rate	Commission	Product Link	Offer Link
10000000001	Acesse a Shopee por inntermédio do nosso Link de Afiliado 		1	a	1	1	colecao	https://s.shopee.com.br/5VPQAX9acB
10000000002	Conheça Nossa Seleção de Produtos do Mercado Livre		1	a	1	1	colecao	https://mercadolivre.com/sec/1iDhp5b
23298095374	Tapete Higienico Good Pad 60x60 Com 30 Und Super Absorção	37,90	10mil+	LeluPets	12%	R$4,55	https://shopee.com.br/product/293152127/23298095374	https://s.shopee.com.br/8zzOWfiCwO
23698090805	Tapete Higienico Good Pad 60x60 Com 30 Und Super Absorção	42,90	105	Multiplic 	18%	R$7,72	https://shopee.com.br/product/372024799/23698090805	https://s.shopee.com.br/9AIoiyhZbR
22897705696	Comedouro Bebedouro Ursinho Elevado Para Caes e Gatos	23,39	891	Delicato Pet	15%	R$3,51	https://shopee.com.br/product/1235013838/22897705696	https://s.shopee.com.br/9AIokIEdvw
12312312312	Vancid 10 1l Desinfetante Herbal Amônia Quaternária Vansil	56,97	1	a	12	6	E5VPKQ-UKJ1	https://mercadolivre.com/sec/1mg7dKh
12312312313	Tapete Mr. Dry Higiênico Para Caes 80x60cm com 30 Unidades	54,44	1	a	12	6	https://www.mercadolivre.com.br/tapete-mr-dry-higinico-para-caes-80x60cm-com-30-unidades/p/MLB29267514?pdp_filters=item_id%3AMLB4265953289#polycard_client=wishlist&wid=MLB4265953289&sid=bookmarks	https://mercadolivre.com/sec/2foM2cR
12312312314	Premier Hipoalergênica Hidrolisada Mandioca Pequeno 10kg	365,99	1	a	12	39	https://www.mercadolivre.com.br/premier-hipoalergenica-hidrolisada-mandioca-pequeno-10kg/up/MLBU3685794831?pdp_filters=item_id%3AMLB6082797500#polycard_client=wishlist&wid=MLB6082797500&sid=bookmarks	https://mercadolivre.com/sec/1ncUjnx
12312312315	Desinfetante Bactericida Herbal Vancid 10 1 Litro Vansil	58,90	1	a	12	6	E5VPKQ-P1EF	https://mercadolivre.com/sec/22G6Txa
22793827631	Kit 6/10 Brinquedos Mordedores para Filhotes Alivia Coceira na Gengiva Remove Placa Natura ATISEN	23,91	3mil+	Atisen	10%	R$2,39	https://shopee.com.br/product/1451694145/22793827631	https://s.shopee.com.br/AABTIICWtW
23094421466	Túnel Colorido Gato Interativo Cachorro Labirinto Dobrável Pet Playground Toca Brinquedos Gatos	43,00	636	M.BOX	13%	R$5,59	https://shopee.com.br/product/409268593/23094421466	https://s.shopee.com.br/9zs35zDAEV
23699043915	4kit Bola rolante para animais de estimação Brinquedo inteligente para gatos Bola rolante com cauda falsa	14,79	4mil+	Loja Premium do Mercado Ba	18%	R$2,66	https://shopee.com.br/product/1645060028/23699043915	https://s.shopee.com.br/9pYctgDnZU
42024338029	Banheira para Calopsita e Boneca com Chuveirinho – Ideal para Higiene e Diversão  Com Pilha	44,00	2mil+	KBI VARIEDADES	14%	R$6,16	https://shopee.com.br/product/1624133831/42024338029	https://s.shopee.com.br/9fFChNEQuT
20524202556	Kit Brinquedo Mordedor para Cachorro Pneu G + Bola Cravo Maciça 75mm + Osso Grande Black com Corda	35,50	20mil+	Petcon	7%	R$2,49	https://shopee.com.br/product/785163935/20524202556	https://s.shopee.com.br/9UvmV4F4FS
21797748159	Brinquedo Pet 3x1 Mordedor Osso Massageador Gengiva Removedor Tártaros Escova de Dente Para Cachorro Cão Pets	19,98	10mil+	Cherrygo1.br	3%	R$0,60	https://shopee.com.br/product/1259086167/21797748159	https://s.shopee.com.br/9KcMIlFhaR
22794270561	Função de despertar Brinquedos Inteligentes Para Gatos Bola De Rolamento Automática Cauda Falsa Recarregável Elétrico	19,68	2mil+	Tigre siberiano	13%	R$2,56	https://shopee.com.br/product/1049574748/22794270561	https://s.shopee.com.br/9AIw6SGKvQ
21198792498	Kit 2 Biscoitos Petiscos Cookie Premier Pet 250g	37,90	440	JN Multi Variedades	33%	R$12,51	https://shopee.com.br/product/648982251/21198792498	https://s.shopee.com.br/8zzVu9GyGP
22198532155	Bifinho Para Cães Petisco Lion Pet Sabores 1kg	25,35	1mil+	ZooPetStore	3%	R$0,76	https://shopee.com.br/product/1521600652/22198532155	https://s.shopee.com.br/8fMfVXIEwN
