Item Id	Item Name	Price	Sales	Shop Name	Commission Rate	Commission	Product Link	Offer Link
10000000001	Acesse a Shopee por intermédio do nosso Link de Afiliado 		1	a	1	1	colecao	https://s.shopee.com.br/5VPQAX9acB
10000000002	Conheça Nossa Seleção de Produtos do Mercado Livre		1	a	1	1	colecao	https://mercadolivre.com/sec/24D3RGC
23398639508	Conjunto Feminino Calça Pantalona e Blusa de Gola Alta Manga Longa Tecido Anarruga Moda Elegante	91,99	1mil+	BABY MODAS0	15%	R$13,80	https://shopee.com.br/product/1439133553/23398639508	https://s.shopee.com.br/3qJsv3KloU
22798302481	Leggings canelada de cintura larga e cor sólida para atividades esportivas.	29,99	10mil+	COCOKA	23%	R$6,90	https://shopee.com.br/product/1414741692/22798302481	https://s.shopee.com.br/3g0SikLP9T
21998511520	Moleton Ziper Aberto Jaqueta Estiloso Blusa De Frio Feminino Masculino Canguru Capuz Bolso Inverno	79,99	8mil+	HUGO JOBS	13%	R$10,40	https://shopee.com.br/product/868488797/21998511520	https://s.shopee.com.br/4AwjJfJV8a
22494928254	Blusa de frio do brasil moletom canguru torcedor brasileiro masculino e feminino unissex blusa com capuz e bolso	59,99	39	JT SHOPP	23%	R$13,80	https://shopee.com.br/product/1224529773/22494928254	https://s.shopee.com.br/40dJ7MK8TZ
23498379918	Blusa de frio feminina estilo blogueira com trança tendência 2025 blusa tricot manga bufante	47,99	4mil+	AUSTRALISMODAS	15%	R$7,20	https://shopee.com.br/product/290234225/23498379918	https://s.shopee.com.br/4VZZiHIESg
58208700081	Kit 2 Pares Bota Feminina Cano Enrugado Saltinho Moda Rodeio Blogueira- Oferta!	59,75	316	MK_SHOES	7%	R$4,18	https://shopee.com.br/product/1349286102/58208700081	https://s.shopee.com.br/4LG9VyIrnf
41178806100	Blusa Feminina Brasil T-shirt Verão Algodão	31,96	4mil+	Latzi	28%	R$8,95	https://shopee.com.br/product/681967866/41178806100	https://s.shopee.com.br/4qCQ6tGxmm
52758437928	Camiseta Brasileira Feminina Infantil e Adulto T-shirt Tal Mãe Tal Filha Brasil Promoção	42,52	267	VIDOTTO Store	16%	R$6,80	https://shopee.com.br/product/1316980618/52758437928	https://s.shopee.com.br/4fszuaHb7l
23598568886	Cropped Top Feminino Personalizado Copa 2026 ESTHER BRAZIL	29,94	1mil+	MYDREAMS1	18%	R$5,39	https://shopee.com.br/product/587578299/23598568886	https://s.shopee.com.br/50VqJCGKRr
40650367303	Um Novo Suéter Grosso De Gola Alta Para Mulheres No Inverno 2026 , Combinado Com Elegante top Térmico De Outono E	79,84	5mil+	COCO & LULU FASHION STORE	3%	R$2,40	https://shopee.com.br/product/393412132/40650367303	https://s.shopee.com.br/BQaYJYjFw
20698271319	Conjunto Ziper Inverno Pantalona	70,00	83	PandaHMS	13%	R$9,10	https://shopee.com.br/product/1551697817/20698271319	https://s.shopee.com.br/17AM0ZMav
58205873852	Kit 4 Blusas Feminina Ribana Canelado Básica Casual Estilosa Tendência Verão	69,99	8mil+	Usely.Moda	15%	R$10,50	https://shopee.com.br/product/1521733034/58205873852	https://s.shopee.com.br/W3QwvXSa2
40578997129	Kit 3 Blusa de Frio Cacharrel Feminina Inverno Blusa Gola Alta Tricot Moda Frio	79,99	207	VM_Moda_	28%	R$22,40	https://shopee.com.br/product/1025213096/40578997129	https://s.shopee.com.br/qgHLXWBu8
54958027125	Blusa Feminina T-shirt Brasil Cores 100% Algodão Premium Envio Imediato	33,90	151	Latzi	33%	R$9,79	https://shopee.com.br/product/681967866/54958027125	https://s.shopee.com.br/gMr9EWpF7
58257935434	Copo Termico 473ml Personalizado Brasil Com Abridor integrado e Tampa - Tema Copa do Mundo	42,20	147	D’ bate pronto	18%	R$7,60	https://shopee.com.br/product/416104241/58257935434	https://s.shopee.com.br/1BJ7k9UvEE
16484187667	Camisa do Brasil Camiseta do Brasil Seleção Brasileira Torcida Brasil Amarela Patriota Torcedor	44,90	1mil+	JLSTORE_1	10%	R$4,49	https://shopee.com.br/product/526443623/16484187667	https://s.shopee.com.br/10zhXqVYZD
22598925518	Macacão feminino elegante pantalona longa com cinto, decote em V, costas abertas e bolsos invisíveis, moderno versátil	78,99	1mil+	jadie.M	44%	R$34,76	https://shopee.com.br/product/1629613353/22598925518	https://s.shopee.com.br/1Vvy8lTeYK
22698846073	Camiseta Treino Feminina Docinho Oversized Roupas de Academia Look de Treino Super Poderosas Meme	28,90	3mil+	New_Pro	17%	R$4,91	https://shopee.com.br/product/289956076/22698846073	https://s.shopee.com.br/1LcXwSUHtJ
58208026413	ROMANTIC CROWN Kit 2 Copo Térmico Inox 1200ml/600ml Garrafa Térmica Inoxidável com Tampa e Canudo	79,99	1mil+	Romantic.Crown04	7%	R$5,60	https://shopee.com.br/product/1240652277/58208026413	https://s.shopee.com.br/1gFOL4T1DP
40007124196	Camiseta Feminina Preta 100% Algodão Academia Docinho Florzinha Lindinha Look Treino Confortavél	32,65	1mil+	Latzi	48%	R$15,67	https://shopee.com.br/product/681967866/40007124196	https://s.shopee.com.br/2BBevzR7CW
22399274898	Kit 2 Roupões Plush M ou G Unissex Adulto Inverno Quentinho Promoção 100% Poliester	118,95	510	I&I VENDAS	12%	R$14,27	https://shopee.com.br/product/402681635/22399274898	https://s.shopee.com.br/20sEjgRkXV
23499391520	2 Calças Legging com Bolso Lateral Suplex Cós Alto Largo Academia Crossfit Verão Fitness	31,99	217	Saron Essencias do Campo	11%	R$3,52	https://shopee.com.br/product/1251161766/23499391520	https://s.shopee.com.br/2VoVKbPqWc
54657379904	Kit 3 Blusas Feminina Cores Brasil Copa Gola Alta Canelada Manga Curta Elegante Confortável	58,90	107	Hantel Brand	22%	R$12,96	https://shopee.com.br/product/1058666705/54657379904	https://s.shopee.com.br/2LV58IQTrb
